candidate,seed,denominator,baseline_accepted,model_accepted,paired_delta,ci95_low,ci95_high
shared_high_resolution,42,1312,1293,1270,-0.01753048780487805,-0.028573089246399744,-0.006487886363356355
shared_high_resolution,123,1312,1293,1244,-0.037347560975609755,-0.050475966171031714,-0.024219155780187795
shared_high_resolution,456,1312,1293,1264,-0.022103658536585365,-0.03371436923685257,-0.01049294783631816
inverse_frequency_weighting,42,1312,1293,1282,-0.008384146341463415,-0.01794266812093127,0.00117437543800444
inverse_frequency_weighting,123,1312,1293,1278,-0.011432926829268292,-0.021439029185868,-0.0014268244726685867
inverse_frequency_weighting,456,1312,1293,1284,-0.006859756097560976,-0.01618534121916136,0.0024658290240394095
power_law_p_minus_1,42,1312,1293,1284,-0.006859756097560976,-0.016421839108045806,0.0027023269129238534
power_law_p_minus_1,123,1312,1293,1285,-0.006097560975609756,-0.01577722097984566,0.0035820990286261484
power_law_p_minus_1,456,1312,1293,1283,-0.007621951219512195,-0.017749553180204727,0.002505650741180339
raw_cell_plus_pt_or,42,1312,1293,1294,0.0007621951219512195,-0.0037210312892481355,0.005245421533150574
raw_cell_plus_pt_or,123,1312,1293,1299,0.004573170731707317,-0.001013149333645151,0.010159490797059785
raw_cell_plus_pt_or,456,1312,1293,1298,0.0038109756097560975,-0.0011413326357753517,0.008763283855287546
