candidate,seed,selected_epoch,decision_threshold,pt_threshold_mev,background_accepted,background_count,background_fpr,pair_observable_signal_accepted,pair_observable_signal_count,pair_observable_signal_efficiency,pair_eligible_signal_accepted,pair_eligible_signal_count,pair_eligible_signal_efficiency,inclusive_signal_accepted,inclusive_signal_count,inclusive_signal_efficiency,inclusive_delta_vs_baseline
shared_high_resolution,42,4,-0.15833105146884918,,124,24835,0.004992953493054157,3243,7302,0.44412489728841414,2655,3651,0.7271980279375514,3243,7307,0.4438209935678117,0.09990420145066375
shared_high_resolution,123,5,-0.02260243520140648,,124,24835,0.004992953493054157,3175,7302,0.4348123801698165,2654,3651,0.7269241303752396,3175,7307,0.4345148487751471,0.09059805665799919
shared_high_resolution,456,10,-0.15428878366947174,,124,24835,0.004992953493054157,3247,7302,0.44467269241303753,2675,3651,0.7326759791837852,3247,7307,0.44436841384973313,0.1004516217325852
inverse_frequency_weighting,42,10,-0.5380120873451233,,124,24835,0.004992953493054157,3319,7302,0.45453300465625857,2671,3651,0.7315803889345385,3319,7307,0.45422197892431915,0.11030518680717122
inverse_frequency_weighting,123,17,-0.5924693942070007,,124,24835,0.004992953493054157,3187,7302,0.43645576554368665,2639,3651,0.7228156669405642,3187,7307,0.4361571096209115,0.09224031750376355
inverse_frequency_weighting,456,10,-0.33170968294143677,,124,24835,0.004992953493054157,3251,7302,0.4452204875376609,2691,3651,0.7370583401807724,3251,7307,0.4449158341316546,0.10099904201450666
power_law_p_minus_1,42,17,-1.2288849353790283,,124,24835,0.004992953493054157,3260,7302,0.44645302656806357,2702,3651,0.7400712133662011,3260,7307,0.4461475297659778,0.1022307376488299
power_law_p_minus_1,123,20,-0.9727905988693237,,124,24835,0.004992953493054157,3266,7302,0.4472747192549986,2709,3651,0.741988496302383,3266,7307,0.44696866018886,0.10305186807171207
power_law_p_minus_1,456,8,-1.1516287326812744,,124,24835,0.004992953493054157,3297,7302,0.4515201314708299,2688,3651,0.7362366474938373,3297,7307,0.4512111673737512,0.10729437525660329
raw_cell_plus_pt_or,42,18,-0.007892384193837643,22300.0,124,24835,0.004992953493054157,2720,7302,0.3725006847439058,2360,3651,0.6463982470556012,2720,7307,0.37224579170658273,0.0283289995894348
raw_cell_plus_pt_or,123,18,-0.20823217928409576,22300.0,124,24835,0.004992953493054157,2867,7302,0.39263215557381537,2466,3651,0.6754313886606409,2867,7307,0.3923634870671958,0.048446694950047886
raw_cell_plus_pt_or,456,18,-0.17371100187301636,22300.0,124,24835,0.004992953493054157,2832,7302,0.38783894823336074,2460,3651,0.6737880032867708,2832,7307,0.3875735596003832,0.04365676748323527
