seed,population,method,accepted,count,efficiency,delta_vs_baseline,interval_low,interval_high
42,inclusive,baseline,2513,7307,0.34391679211714793,0.0,0.0,0.0
42,inclusive,nn_only,3260,7307,0.4461475297659778,0.1022307376488299,0.09338796913004503,0.11107350616761476
42,inclusive,joint_or,3226,7307,0.44149445736964554,0.0975776652524976,0.08914821580823082,0.10600711469676438
42,pair_observable,baseline,2513,7302,0.3441522870446453,0.0,0.0,0.0
42,pair_observable,nn_only,3260,7302,0.44645302656806357,0.10230073952341824,0.0934521284739187,0.11114935057291778
42,pair_observable,joint_or,3226,7302,0.4417967680087647,0.09764448096411942,0.08920946259656426,0.10607949933167457
42,eligible,baseline,2199,3651,0.6023007395234182,0.0,0.0,0.0
42,eligible,nn_only,2702,3651,0.7400712133662011,0.1377704738427828,0.12385519651615287,0.1516857511694127
42,eligible,joint_or,2686,3651,0.7356888523692139,0.13338811284579566,0.12004024153995688,0.14673598415163444
123,inclusive,baseline,2513,7307,0.34391679211714793,0.0,0.0,0.0
123,inclusive,nn_only,3266,7307,0.44696866018886,0.10305186807171206,0.09446185644143698,0.11164187970198713
123,inclusive,joint_or,3280,7307,0.4488846311755851,0.10496783905843711,0.09663687092136444,0.11329880719550978
123,pair_observable,baseline,2513,7302,0.3441522870446453,0.0,0.0,0.0
123,pair_observable,nn_only,3266,7302,0.4472747192549986,0.10312243221035333,0.09452676093522112,0.11171810348548554
123,pair_observable,joint_or,3280,7302,0.4491920021911805,0.10503971514653519,0.09670328029916452,0.11337614999390587
123,eligible,baseline,2199,3651,0.6023007395234182,0.0,0.0,0.0
123,eligible,nn_only,2709,3651,0.741988496302383,0.13968775677896467,0.12609676459160693,0.1532787489663224
123,eligible,joint_or,2724,3651,0.7460969597370584,0.1437962202136401,0.1306500017168323,0.1569424387104479
456,inclusive,baseline,2513,7307,0.34391679211714793,0.0,0.0,0.0
456,inclusive,nn_only,3297,7307,0.4512111673737512,0.10729437525660326,0.09839786722645773,0.1161908832867488
456,inclusive,joint_or,3305,7307,0.45230600793759407,0.10838921582044615,0.09985486767685368,0.11692356396403862
456,pair_observable,baseline,2513,7302,0.3441522870446453,0.0,0.0,0.0
456,pair_observable,nn_only,3297,7302,0.4515201314708299,0.1073678444261846,0.09846547726298681,0.1162702115893824
456,pair_observable,joint_or,3305,7302,0.4526157217200767,0.10846343467543139,0.09992349027982539,0.11700337907103739
456,eligible,baseline,2199,3651,0.6023007395234182,0.0,0.0,0.0
456,eligible,nn_only,2688,3651,0.7362366474938373,0.13393590797041907,0.1201684624956375,0.14770335344520064
456,eligible,joint_or,2706,3651,0.7411668036154478,0.1388660640920296,0.12568603252233923,0.15204609566171995
