candidate,feature_family,member_pt_included,inclusive_accepted,inclusive_denominator,inclusive_signal_efficiency,parameter_count,screen_decision,evidence_status
raw_coarse_cells_without_member_pt,Raw coarse cells,false,2993,7307,0.40960722594772137,3601,reproduced_across_three_seeds,validation_only_unconfirmed
raw_coarse_cells_with_member_pt,Raw coarse cells,true,2988,7307,0.4089229505953196,3633,reproduced_across_three_seeds,validation_only_unconfirmed
compact_em2_measurements_with_member_pt,Compact EM2 measurements,true,2941,7307,0.40249076228274255,2705,reproduced_across_three_seeds,validation_only_unconfirmed
per_layer_summaries_with_member_pt,Per-layer summaries,true,2935,7307,0.40166963185986043,2673,closed_after_seed42_screen,validation_only_unconfirmed
all_except_em0_cells_without_member_pt,Layer removal study,false,2897,7307,0.3964691391816067,2545,closed_after_seed42_screen,validation_only_unconfirmed
all_except_em3_cells_without_member_pt,Layer removal study,false,2865,7307,0.3920897769262351,2545,closed_after_seed42_screen,validation_only_unconfirmed
per_layer_summaries_without_member_pt,Per-layer summaries,false,2857,7307,0.39099493636239224,2641,closed_after_seed42_screen,validation_only_unconfirmed
all_layer_summaries_without_member_pt,Layer-group study,false,2857,7307,0.39099493636239224,2641,closed_after_seed42_screen,validation_only_unconfirmed
em2_core_measurements_with_member_pt,EM2 core measurements,true,2836,7307,0.38812097988230465,2385,closed_after_seed42_screen,validation_only_unconfirmed
all_except_em1_cells_without_member_pt,Layer removal study,false,2765,7307,0.378404269878199,2545,closed_after_seed42_screen,validation_only_unconfirmed
electromagnetic_layers_without_member_pt,Layer-group study,false,2659,7307,0.3638976324072807,2545,closed_after_seed42_screen,validation_only_unconfirmed
all_except_had_cells_without_member_pt,Layer removal study,false,2659,7307,0.3638976324072807,2545,closed_after_seed42_screen,validation_only_unconfirmed
compact_em2_measurements_without_member_pt,Compact EM2 measurements,false,2611,7307,0.3573285890242233,2641,closed_after_seed42_screen,validation_only_unconfirmed
all_except_em2_cells_without_member_pt,Layer removal study,false,2608,7307,0.35691802381278226,2545,closed_after_seed42_screen,validation_only_unconfirmed
non_em2_layers_without_member_pt,Layer-group study,false,2608,7307,0.35691802381278226,2545,closed_after_seed42_screen,validation_only_unconfirmed
em2_core_measurements_without_member_pt,EM2 core measurements,false,2589,7307,0.3543177774736554,2321,closed_after_seed42_screen,validation_only_unconfirmed
em2_best_window_fraction_with_member_pt,EM2 best-window fraction,true,2543,7307,0.34802244423155876,2225,closed_after_seed42_screen,validation_only_unconfirmed
em2_cells_only_without_member_pt,Layer-group study,false,2449,7307,0.3351580676064048,2257,closed_after_seed42_screen,validation_only_unconfirmed
early_em_layers_without_member_pt,Layer-group study,false,2136,7307,0.2923224305460517,2353,closed_after_seed42_screen,validation_only_unconfirmed
em2_best_window_fraction_without_member_pt,EM2 best-window fraction,false,2070,7307,0.2832899958943479,2193,closed_after_seed42_screen,validation_only_unconfirmed
late_em_and_had_layers_without_member_pt,Layer-group study,false,1888,7307,0.25838237306692213,2353,closed_after_seed42_screen,validation_only_unconfirmed
had_cells_only_without_member_pt,Layer-group study,false,1519,7307,0.2078828520596688,2257,closed_after_seed42_screen,validation_only_unconfirmed
